Timestamp,1. Department (বিভাগ),2. Which academic year are you currently in?(আপনি বর্তমানে কোন শিক্ষাবর্ষে অধ্যয়ন করছেন?),3. Which digital device do you use most frequently?(আপনি কোন ডিজিটাল ডিভাইসটি সবচেয়ে বেশি ব্যবহার করেন?),4. How many hours per day do you use digital devices?(প্রতিদিন আপনি কত ঘণ্টা ডিজিটাল ডিভাইস ব্যবহার করেন?),5. How many hours per day do you use digital devices for academic activities?(প্রতিদিন একাডেমিক কার্যক্রমের জন্য আপনি কত ঘণ্টা ডিজিটাল ডিভাইস ব্যবহার করেন?),6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Social Media],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Messaging],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [YouTube / Video Streaming],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Gaming],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Browsing / News],7. How often do you use generative AI tools(Claude/ChatGPT etc.) for academic purposes? (আপনি একাডেমিক বা পড়াশোনার কাজে কত ঘন ঘন Generative AI টুল ব্যবহার করেন?),8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Understanding Theory/Lab Lecture],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Writing Lab or Other Reports],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Exam Preparation],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Understanding Research Papers],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Presentation Preparation],9. I engage in other digital activities while doing academic activities.(একাডেমিক কার্যক্রমের সময় আমি অন্যান্য ডিজিটাল কার্যক্রমে যুক্ত থাকি।),10. Notifications interrupt my concentration during academic activities(একাডেমিক কার্যক্রমের সময় নোটিফিকেশন আমার মনোযোগে বিঘ্ন ঘটায়),11. I check my devices without a specific reason during academic activities.(একাডেমিক কার্যক্রমের সময় কোনো নির্দিষ্ট কারণ ছাড়াই আমি আমার ডিভাইস দেখি।),12. I switch to digital entertainment while doing academic activities.(একাডেমিক কার্যক্রমের সময় আমি ডিজিটাল বিনোদনের দিকে চলে যাই।),13. I use digital devices longer than I intended.(আমি ইচ্ছার চেয়ে বেশি সময় ডিজিটাল ডিভাইস ব্যবহার করি।),14. I find it difficult to stop using digital devices.(ডিজিটাল ডিভাইস ব্যবহার বন্ধ করা আমার জন্য কঠিন।),15. The use of digital devices shortly before sleep reduces total sleep duration. (ঘুমানোর ঠিক আগে ডিজিটাল ডিভাইসের ব্যবহার মোট ঘুমের সময় কমিয়ে দেয়।),16. What time do you usually go to sleep at night?(আপনি সাধারণত রাতে কখন ঘুমাতে যান?),17. What time do you usually wake up in the morning?(আপনি সাধারণত সকালে কখন ঘুম থেকে ওঠেন?),"18. Do you usually have a second sleep period during the day or at another time?
(আপনি কি সাধারণত দিনে বা অন্য কোনো সময় দ্বিতীয়বার ঘুমান?)","19. If Yes, What time does your second sleep usually start?(হ্যাঁ হলে, আপনার দ্বিতীয়বার ঘুমানো সাধারণত কখন শুরু হয়?","20. If Yes, What time do you usually wake up from your second sleep?(হ্যাঁ হলে, দ্বিতীয়বার ঘুমানোর পর আপনি সাধারণত কখন ঘুম থেকে ওঠেন?)",21. What is your current CGPA?(আপনার বর্তমান CGPA কত?)
8/16/2026 22:20:38,CSE,4th Year,Laptop,More than  8 hours,2 - 4 hours,5-Most Time,1-Minimum Time,3-Moderate Time,1-Minimum Time,1-Minimum Time,5,3-Moderately,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,4,3,4,3,3,4,4,3,After 1AM,7AM-8AM,Yes,4:00:00 PM,5:30:00 PM,3.25–3.49
8/16/2026 22:42:07,CSE,4th Year,Laptop,5 - 8 hours,2 - 4 hours,5-Most Time,5-Most Time,1-Minimum Time,1-Minimum Time,5-Most Time,5,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5,5,5,5,5,5,5,12AM-1AM,7AM-8AM,Yes,3:00:00 PM,5:30:00 PM,3.25–3.49
8/16/2026 22:51:28,CSE,4th Year,Laptop,More than  8 hours,4 - 6 hours,2,1-Minimum Time,5-Most Time,1-Minimum Time,2,5,4,3-Moderately,1-Occasionally,3-Moderately,2,1,2,3,3,5,4,5,After 1AM,After 8AM,Yes,2:00:00 PM,4:00:00 PM,3.75–4.00
8/17/2026 9:25:35,CSE,4th Year,Smartphone,More than  8 hours,2 - 4 hours,2,2,2,2,2,4,2,2,2,2,2,3,3,3,3,3,3,4,12AM-1AM,7AM-8AM,No,,,3.00–3.24
8/17/2026 9:34:09,CSE,4th Year,Laptop,5 - 8 hours,2 - 4 hours,1-Minimum Time,2,4,1-Minimum Time,3-Moderate Time,5,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,2,1,3,2,3,3,1,10PM-11PM,5AM-6AM,No,3:00:00 PM,5:00:00 PM,3.00–3.24
8/17/2026 10:09:05,CSE,3rd Year,Desktop Computer,More than  8 hours,2 - 4 hours,2,1-Minimum Time,3-Moderate Time,4,2,4,4,4,4,3-Moderately,3-Moderately,3,3,2,3,3,3,2,12AM-1AM,7AM-8AM,No,,,3.25–3.49
8/17/2026 10:09:55,TEXTILE ,4th Year,Smartphone,5 - 8 hours,More than 7 hours,2,1-Minimum Time,2,2,3-Moderate Time,1,1-Occasionally,1-Occasionally,2,1-Occasionally,2,2,2,1,4,5,2,5,After 1AM,7AM-8AM,Yes,3:00:00 PM,6:00:00 PM,3.50–3.74
8/17/2026 10:22:56,DVM,4th Year,Smartphone,5 - 8 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,2,2,2,3,3-Moderately,2,3-Moderately,3-Moderately,4,2,5,5,3,5,3,2,After 1AM,After 8AM,Yes,4:45:00 PM,6:30:00 PM,3.25–3.49
8/17/2026 10:44:56,Botany,4th Year,Laptop,More than  8 hours,2 - 4 hours,1-Minimum Time,3-Moderate Time,3-Moderate Time,1-Minimum Time,1-Minimum Time,5,4,3-Moderately,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3,4,4,4,4,4,5,12AM-1AM,5AM-6AM,Yes,3:45:00 AM,5:00:00 AM,3.25–3.49
8/17/2026 11:08:17,CSE,4th Year,Laptop,More than  8 hours,4 - 6 hours,2,3-Moderate Time,2,3-Moderate Time,2,3,2,2,3-Moderately,3-Moderately,2,3,4,2,4,4,4,3,After 1AM,After 8AM,Yes,1:00:00 PM,3:00:00 PM,3.50–3.74
8/17/2026 11:12:25,CSE,4th Year,Laptop,5 - 8 hours,2 - 4 hours,2,2,3-Moderate Time,1-Minimum Time,5-Most Time,3,4,3-Moderately,5-Mostly Dependent on AI,4,4,4,2,2,2,3,5,5,12AM-1AM,5AM-6AM,No,,,3.75–4.00
8/17/2026 11:20:57,ME,4th Year,Smartphone,More than  8 hours,2 - 4 hours,5-Most Time,3-Moderate Time,2,4,1-Minimum Time,5,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,5-Mostly Dependent on AI,2,3,3,4,5,5,5,12AM-1AM,7AM-8AM,No,,,3.50–3.74
8/17/2026 11:27:10,CSE,4th Year,Smartphone,5 - 8 hours,Less than 1 hour,3-Moderate Time,4,2,1-Minimum Time,1-Minimum Time,4,3-Moderately,3-Moderately,3-Moderately,4,4,5,5,5,5,5,5,5,After 1AM,7AM-8AM,Yes,4:30:00 PM,6:00:00 AM,Below 3.00
